;DT1;DT2;DT4;DT5;DT8;DT9;DT10;DT11;DT12
MT1;0;1;0;0;0;0;0;0;0
MT2;0;0;0;0;1;0;0;0;0
MT3;0;0;0;0;0;0;0;0;1
MT6;0;0;0;0;0;0;0;0;0
MT8;0;0;1;1;0;0;0;0;0
MT9;0;0;1;1;0;0;0;0;0
MT11;0;0;1;1;0;0;0;0;0
MT14;1;1;1;1;1;1;1;1;1
MT16;1;1;0;0;1;1;1;1;0
MT17;1;1;0;0;1;1;1;1;0
MT18;1;1;0;0;1;1;1;1;0
MT19;1;1;1;1;1;1;1;1;1
