"GSM1570043";"GSM1570044";"GSM1570045";"GSM1570046";"GSM1570047";"GSM1570048";"GSM1570049";"GSM1570050";"GSM1570051";"GSM1570052";"GSM1570053";"GSM1570054"
"C10orf95";7.628855716;7.753650976;7.021513496;7.144259937;6.393631394;6.662363708;6.551556338;6.991402281;6.947659743;6.314168418;6.881024031;7.02680571
"C10orf99";4.922829819;4.822431818;5.127099889;5.153801816;5.124670699;5.12314332;5.12902391;5.120796805;5.319621057;5.221613231;5.298159121;5.179186605
"C11orf1";10.22365959;10.09618008;9.03212458;8.952845624;9.087978985;9.290026291;8.914447716;8.854499732;8.983760004;9.028697517;9.004678512;8.823487862
"C11orf16";6.035500939;6.12084649;5.835441197;5.807609884;5.692923795;5.531579338;5.898755711;5.626364706;5.880559938;5.736410628;5.695674142;5.785609957
"C11orf21";4.370486667;4.706988918;10.03094877;9.35435041;9.305904842;9.687083668;9.745714286;9.703569828;9.053824556;9.649802551;9.767319192;9.765744016
"C11orf24";9.599497058;9.496618238;8.700666578;9.155441867;8.692471981;8.772236693;8.759576672;8.959714505;9.003952877;8.55445722;8.614701727;8.880756874
"C11orf30";9.614165449;9.475116031;9.734320492;9.90207023;9.846559002;9.991007348;9.946158658;9.860096013;9.898154251;9.889573005;9.874920536;9.798123449
"C11orf31";11.90839403;12.01737745;11.88598572;11.9023568;11.89698661;11.97581112;11.83258584;11.81575354;11.93465873;11.77538902;11.84519275;11.77227824
"C11orf40";3.959924365;3.90364864;3.504140756;3.643383132;3.515739074;3.403614279;3.692375245;3.473269915;3.431406076;3.675545429;3.526667876;3.50007797
"C11orf42";3.946619873;4.124238981;3.885738003;3.952801731;3.965188377;4.030026709;4.177367507;4.046940811;3.967675566;3.847557792;4.046059627;3.931790211
"C11orf44";3.979727078;3.91264638;3.613827739;3.558132937;3.759222359;3.678658924;3.623524983;3.567827859;3.589139485;3.678658924;3.521259953;3.670006851
"C11orf45";5.640114177;5.066757064;5.140649541;4.57619619;4.541779362;4.713988403;4.848237122;4.429003573;4.650343059;4.294709223;4.221370445;4.589622332
"C11orf48 /// LOC102288414";11.6373516;11.67738796;11.00585563;11.11492722;10.62295782;10.61363886;10.80767281;11.07345399;10.82990175;10.39534755;10.86676361;10.94493998
"C11orf49";7.842167848;8.105668736;6.969868605;7.488727938;7.374559431;7.124366704;6.883088464;7.068889649;7.079507791;7.204938371;6.727281611;7.107116049
"C11orf52 /// HSPB2 /// HSPB2-C11orf52";6.153925994;6.705905967;5.880559938;5.883498346;5.981042333;5.862398054;5.914049781;5.755632055;5.483761766;5.614987073;5.624308388;5.575867852
"C11orf53";5.314472042;5.3523998;5.183066773;5.411513027;5.13178011;5.337915975;5.446489923;5.291388541;5.332400031;5.283658569;5.223323878;5.392502838
"C11orf54";7.865106321;8.126472677;7.53321452;7.347814014;7.993539965;7.30972982;7.3553735;7.67309937;7.347191229;8.134115694;7.400048795;7.127517503
"C11orf57";8.526363667;8.189998243;8.486061713;8.24328862;8.441979759;8.207471416;8.065146908;8.366927778;8.042826508;8.25686497;7.992232346;8.266706986
"C11orf58";10.59754025;10.45216674;10.24769651;10.14631906;9.790477554;10.09273433;10.08938985;10.27369014;9.980662552;9.855056705;10.19353976;10.07419171
"C11orf63";6.461784322;6.838626893;6.473267067;6.195090016;6.039356073;6.132783118;5.915889874;5.996420517;6.580208047;6.87065204;5.708122335;6.007622652
"C11orf65";5.547962954;4.307352102;5.123847594;4.375012387;4.716451862;4.684824559;4.731093969;4.564822954;4.5934085;4.381648271;4.552535872;4.165331971
"C11orf68";8.651173391;8.741874399;8.489532255;8.250081483;8.000148005;8.046684102;7.970133625;8.479500453;8.314493069;8.069241002;7.872260224;8.227675786
"C11orf70";4.280696499;4.202394502;3.707194794;3.749232668;3.816252009;3.721697427;3.624556393;3.69272086;3.822436512;3.821039416;3.68679546;3.664201822
"C11orf71";7.204349625;6.996797548;7.866213953;7.569444977;7.107173996;7.26482984;7.975339477;7.69881022;7.571766287;7.056159785;7.420276481;7.761384686
"C11orf72";4.665467904;4.949999655;4.975926592;4.96725085;4.820750255;4.703372713;4.928367908;5.047511038;4.735534111;5.021445256;4.760733447;4.969178195
"C11orf73";9.077424292;9.027391097;8.633530251;8.833336191;8.669663442;8.49800564;8.512559612;8.735346558;8.482119837;8.591196049;8.481303169;8.586642307
"C11orf74";8.282762147;8.070901473;6.964560814;6.404562052;7.277632114;6.93981427;6.917360677;6.369146026;6.530679134;7.111564632;6.671488522;7.075346847
"C11orf80";7.374299959;7.461144961;7.051564074;7.449054366;7.015837252;7.006613422;7.151237068;7.337812625;7.408702444;6.854297702;7.112396583;7.130316165
"C11orf83";9.506903614;9.716026404;8.704966775;8.94155295;8.035390393;8.208284655;8.760013144;8.766144878;8.816930247;8.379511667;8.392679426;8.641079061
"C11orf84";8.12919246;8.555372208;7.412646525;7.357149194;7.905111476;7.086869216;7.210314598;7.463875199;7.148860782;7.225118602;7.190726097;7.329923789
"C11orf85";4.77132057;4.670817317;4.484465777;4.749818118;4.655955995;4.647566295;4.797557572;4.614159048;4.627251186;4.353973786;4.670817317;4.315531507
"C11orf86";5.921696979;5.889983277;5.505369397;5.823021523;5.720843194;5.660907107;5.657180878;5.515288846;5.792913729;5.836909522;5.677864224;5.789596376
"C11orf87";3.605984599;3.691300799;3.569693278;3.569693278;3.487286669;3.375833033;3.496897681;3.511736207;3.458185696;3.449853935;3.454564386;3.391786815
"C11orf88";4.83238807;5.057907079;4.869776202;5.061249705;4.388991977;4.622271774;4.858328455;4.730209298;4.59420185;4.482135226;4.726590884;4.71551746
"C11orf92";3.178912387;3.303232265;3.215883469;3.202579016;3.289841185;3.210404434;3.334972182;3.327929749;3.31938004;3.215350267;3.167244017;3.141825897
"C11orf94";4.711043917;4.645709438;4.374744921;4.521627594;4.065872369;4.007630495;4.477614451;4.261538272;4.563447555;4.202379009;4.480760907;4.44952411
"C11orf95";8.784208566;8.662085021;7.890558867;7.968949768;8.014656104;7.561010329;7.543210495;7.987062396;7.972772868;7.877638761;7.731180929;7.931993943
"C11orf96";5.398201451;5.261374045;5.177110068;5.230874905;5.059215864;5.191222486;5.26745008;4.97601033;5.417106589;5.26924802;5.288114243;5.23670008
"C11orf97";5.101406497;5.174490315;4.959042826;5.188165081;5.117202461;5.237919455;5.016666075;5.076307246;5.316247045;5.288759443;5.147781216;5.123753116
"C12orf10";9.094837673;9.045407156;8.279781621;8.255386336;6.517448124;7.764910245;8.135311233;8.251454438;7.875724063;6.687354278;7.958909841;8.373398132
"C12orf29";8.046603914;8.183648967;7.41439825;7.336737296;7.479360211;7.624827608;6.917785802;7.332244698;7.247442442;7.733603397;7.285940372;7.09412455
"C12orf4";9.517550528;9.218250527;9.327075521;9.123827541;9.095930328;9.209949478;9.275486381;9.244834519;8.808247455;9.580643391;9.04921326;9.282664922
"C12orf40";4.478616924;5.063590121;4.6752887;4.859223231;4.676350931;4.846126584;5.019270172;4.884904924;4.953750552;4.891385528;4.983786251;5.095179954
"C12orf42";5.572923301;5.337915975;5.803112521;5.853502261;6.192597567;5.676448822;5.919770318;6.106376763;5.947485635;6.028159866;5.380307612;5.426237177
"C12orf43";8.100412843;8.477597935;8.330685364;7.729575809;7.46414308;7.215050952;7.594479483;8.16686145;7.246264375;7.395929856;7.393386272;7.791950021
"C12orf45";9.549862112;9.574925989;8.69368427;8.847509394;8.618829193;8.395114165;8.570058796;8.712237213;8.768832477;8.236069994;8.745310406;8.448739168
"C12orf49";9.010554357;8.795733459;8.944672813;8.825921407;8.445985998;8.538558795;8.012488794;9.080402985;8.411445442;8.809363092;8.205696673;8.685301167
"C12orf5";8.749117974;8.116551763;7.734801646;7.433499192;7.91516533;7.193705386;7.437743297;7.549250246;7.271837849;8.188774516;7.097487493;7.813446361
"C12orf50";4.126097126;3.819106351;3.682108135;3.673941246;3.657792253;3.571484498;3.792172919;3.632935779;3.596989384;3.671561448;3.716699817;3.691055299
"C12orf54";5.878297377;5.863618571;5.821773665;5.950346048;5.610694556;5.902871096;5.761010549;5.69431663;6.010782338;5.735571547;6.133472153;5.847310798
"C12orf55";3.708781427;3.955394241;3.969413762;3.973746432;4.030725691;4.002840727;4.081869246;4.089619004;4.062113049;4.153657838;4.053940759;3.910857447
"C12orf56";4.077845876;4.5689031;3.703062092;3.845062154;3.951509004;3.817114458;3.870743847;3.910165685;3.870743847;3.744658696;3.686549523;3.810731635
"C12orf57";9.211186751;9.281725549;8.812762762;8.961903759;7.551553478;8.45504719;8.651798847;8.911407814;8.650596315;7.398506013;9.053869419;8.643402016
"C12orf60";7.303726328;7.098315457;5.310946978;5.751481527;5.862098169;5.547640387;5.654093719;5.683360301;5.552708949;5.890716182;5.405655498;5.934941812
"C12orf61";5.250509896;4.836764555;6.163458193;6.224019894;6.090988991;5.593393191;6.794111127;5.717487366;5.263083202;6.463215048;6.691507568;7.244315356
"C12orf65";9.070384999;8.960367426;8.169101662;8.562902365;7.81749796;7.873555374;8.449653615;8.45607606;8.04732181;7.720589608;8.247135732;7.980317267
"C12orf66";7.284508902;6.597515727;6.56409441;6.60658382;5.878753076;6.797539055;6.635963556;7.045543498;6.621222904;7.235339301;6.183138965;6.345303322
"C12orf73";8.787123394;8.826194027;7.637629803;7.659448746;7.367105747;7.300409052;7.631704025;7.912588614;7.653168344;7.344395204;7.400170154;7.506297538
"C12orf74";3.162545639;3.225813628;3.273129193;3.385927596;3.197989928;3.158957416;3.255985531;3.130790925;3.252503803;3.147397187;3.042391754;3.20345707
"C12orf75";9.751634072;9.897650185;9.311124269;9.051274239;8.804811561;8.510912681;8.130334855;9.539667523;8.670803234;8.810931138;8.440502609;8.642132223
"C12orf76";7.176845057;7.074780982;7.824553163;7.908117665;7.440232418;7.84372151;7.876540591;7.693258572;7.785074711;7.708574778;7.535360166;7.578470399
"C12orf76 /// LOC101060443";8.157040939;7.968744828;8.753265089;8.860580974;9.050165485;8.905029397;8.675902982;8.867838508;9.269131331;9.188295519;8.713801934;9.012179076
"C12orf77";3.135236115;3.143460192;3.023193637;3.022847854;2.936026109;2.946884394;2.945251627;2.982284876;2.969321203;3.012870826;2.852761959;2.856168557
"C12orf79";4.290337215;4.378635858;4.775709907;4.203754801;4.663688562;5.092618208;4.555997585;4.444512673;4.454058039;5.070016955;5.007804016;4.570242711
"C12orf80";5.202602835;5.315871814;4.993719306;5.022256529;4.990832959;5.043379395;4.925875702;4.907733279;4.839706258;5.084621005;5.002335834;4.797008742
"C14orf1";10.31723599;10.40227346;9.700096721;9.688024502;8.342881482;8.771994028;8.976773178;9.789469292;9.151410194;8.455139026;9.087341417;9.385044605
"C14orf105";5.399286416;5.73091227;5.6643939;6.118863414;5.528022837;5.670930381;5.804799783;5.632067547;5.659216968;5.655042344;5.92136057;5.509321991
"C14orf119";10.69552855;10.66433825;10.51191056;10.465977;10.15886869;9.981723811;10.23815275;10.52351856;10.06947108;10.10125936;10.18661994;10.50789768
"C14orf132";5.832048703;5.376996591;4.94762433;5.01813139;5.112019334;5.436827981;5.173841221;5.005719587;5.126463721;5.179312575;5.220934828;5.184679947
"C14orf142";8.098868143;8.067900731;7.419289441;7.783935666;7.675187196;6.712316213;7.337296924;7.202655831;7.000625574;6.853875207;7.006581717;7.286539314
"C14orf159";8.886409792;8.644274573;8.656733036;8.595738669;9.908539099;9.074472203;9.050205404;8.951900967;9.258654477;9.918330822;8.61262487;8.945553716
"C14orf166";11.09499509;11.0126044;10.63775925;10.71157993;10.3594795;10.45476588;10.5420729;10.53563589;10.48502756;10.24551421;10.56167904;10.56052793
"C14orf169";7.949195191;7.909941882;9.05484797;8.820896996;8.283226172;8.743277813;8.370309722;9.021796032;8.456292884;8.136329233;9.042500026;8.71400797
"C14orf178";5.338168298;5.338328629;5.322104154;5.55169784;4.929277503;5.158860609;5.36611229;5.324543606;5.210270903;5.142200123;5.55169784;5.572930154
"C14orf180";6.522169113;6.447434779;6.240586734;6.343925393;6.076084788;6.391112007;6.497264602;6.403400559;6.510794547;6.230665803;6.411005907;6.349799363
"C14orf182";5.791405628;6.194911302;5.815694477;5.612885562;5.674458907;6.120167953;6.125587748;6.032424476;6.316931341;6.007197339;5.898671363;5.763531713
"C14orf183";5.858478467;5.463426686;6.059480465;5.920690602;6.025149845;6.088831692;5.791317668;6.093561536;5.928446053;5.97017411;6.305523939;6.011025535
"C14orf2";12.48125849;12.51912685;12.30006342;12.28939295;12.06945751;12.07553148;12.36214029;12.20264855;12.18333108;12.1027426;12.28732289;12.42368984
"C14orf23";4.83141561;4.899732757;4.471663087;4.489143312;4.638468347;4.492766889;4.595304481;4.540343114;4.54572936;4.59637127;4.497023849;4.686114241
"C14orf28";5.872586206;6.312672955;7.186700298;7.668718309;7.497128107;7.266182165;7.409098574;7.121761969;7.082165043;7.070453067;7.188548129;6.46143687
"C14orf37";4.965938925;4.681601195;5.004018737;4.683448719;4.438488063;4.210323743;4.814189659;4.410746693;4.558914235;4.48896068;4.511409478;4.470460346
"C14orf39";3.018168125;2.959618887;2.878386169;2.92793569;2.886366778;2.810691992;2.889705225;2.910245872;2.863568695;3.117359885;2.798483132;2.881424013
"C14orf64";5.496814169;5.609508233;6.365602044;5.716094657;5.899640346;7.21084629;6.707166823;5.925233429;6.55961591;6.365275025;7.334605482;5.558804935
"C14orf79";6.858484848;6.559580501;6.264393534;6.359306902;6.400842766;6.345128243;6.366586243;6.018253735;6.340480988;6.28472872;6.212139582;6.275476814
"C14orf80";8.453237536;8.494080487;7.596360361;7.776764183;7.69334538;7.935259667;7.868003005;7.920201907;7.881343732;7.626890036;8.096473849;8.180510335
"C14orf93";6.984393468;6.81416411;7.132137025;7.129412851;6.857300321;6.984393468;6.930195842;7.222159521;6.93344906;6.788332391;6.984393468;7.050007496
"C15orf26";3.563340897;3.726472383;3.147717564;3.186203889;3.339838316;3.207095778;3.283801354;3.304776826;3.125310897;3.343422339;3.148836929;3.304619632
"C15orf27";5.097069794;4.713338215;4.196836277;4.459958685;4.130529641;4.222175702;4.457179389;4.130141105;4.507257026;4.284575713;4.316449194;4.504037782
"C15orf32";3.867562012;4.430400158;3.831729318;3.837659633;3.915327436;3.452600607;3.741161879;3.746690842;3.734466622;3.820467342;3.654319215;3.778694469
"C15orf37";5.661614417;6.503967658;7.828154843;7.18111133;8.677851926;7.010974639;7.747720124;7.122785379;7.539605506;8.070926756;6.606726307;8.13604388
"C15orf39";7.347728842;7.237503429;8.191655832;7.950175691;9.323076396;8.506442726;8.403255257;8.254812345;8.654266382;9.211038839;7.907696611;8.564147806
"C15orf40";7.642037713;7.42867464;6.747005226;6.926247176;6.988649181;6.887336683;6.800307578;7.039042551;6.46640665;6.951236123;6.670214027;6.648215029
"C15orf41";8.22266055;8.2352152;6.957030629;6.947832311;7.140899177;7.08857585;6.654488758;7.253244846;7.079668819;7.122246771;7.207775209;6.937849593
"C15orf43";3.149334909;3.181112544;3.105739802;3.048639155;3.459756048;3.101483599;3.095531697;3.085231522;3.133469081;3.112479667;3.068713532;2.990940844
"C15orf45";5.36611154;5.200885597;4.944673083;4.898990387;4.807747642;4.873033249;4.800466386;4.76294549;4.945900733;4.835759701;5.009444324;4.901381958
"C15orf48";4.275101666;3.96862704;3.884179688;3.636253103;4.855527405;4.021707819;4.091487103;3.966522965;4.054475517;4.449822806;3.727803811;4.035502394
"C15orf49";5.40909113;5.528474964;5.299485903;5.586387775;5.60231242;5.730319569;5.554038973;5.232994335;5.457050355;5.44107341;5.761556005;5.325810722
"C15orf52";7.317094333;7.00728273;6.768362959;6.546512701;6.819824408;6.880023735;6.75247345;6.714064759;6.548033034;7.048723111;6.61074765;6.623824816
"C15orf54";3.979332881;4.04890816;3.998524882;3.792209813;4.116539342;4.264510481;4.278772152;3.72570979;4.098689167;4.008119754;4.073777258;3.794244606
"C15orf56";4.472195505;5.361917804;4.674546793;4.59805764;4.376468538;4.320191115;4.238643042;4.839843643;4.33524977;4.440137914;4.470765462;4.484979583
"C15orf57";7.558350089;7.137275366;7.47595856;8.145274356;7.498579116;7.279579648;7.100891098;7.648690173;7.709659957;7.178006942;6.918417904;7.491021583
"C15orf59";5.445610748;5.716390217;5.440658558;5.733671833;5.212912787;5.534762473;5.845224576;5.585395143;5.637792262;5.294284685;5.538391513;5.568172757
"C15orf61";9.043828525;9.148751901;8.359513383;8.52970683;8.439644441;8.187425015;7.941895453;8.378361391;8.422240468;8.143568745;7.863301245;8.263086485
"C15orf62";7.234490441;7.133133061;7.326766973;7.283261427;7.203656577;7.552681292;7.64122344;7.405981814;7.481429864;7.117520362;7.624358448;7.314334376
"C15orf65";7.403509556;6.395866216;5.579379762;6.061156507;6.744293375;5.470409834;5.928939621;5.781616177;6.390472469;6.271117474;5.922710742;5.929696428
"C16orf13";9.731619792;9.770116642;9.520677927;9.350285549;8.63051698;9.155967293;9.184454737;9.379620554;9.121492021;8.692746427;9.276369024;9.471063042
"C16orf3";6.082933858;5.927531355;5.294586868;5.507246301;5.053916145;5.311390167;5.336343911;5.447013092;5.337915975;5.155287729;5.397117248;5.308569334
"C16orf45";8.217879151;8.180586917;7.518725617;7.625460447;7.59451428;7.026947368;7.17929346;7.575551745;7.420276481;7.538072187;7.285756671;7.23439908
"C16orf46";7.889860569;7.698785532;6.257546474;6.071516343;6.919032184;6.545394637;5.907466081;6.13404395;6.45900334;6.592811188;5.845411461;5.978289638
"C16orf52 /// LOC101930115 /// VWA3A";8.946596467;9.033985148;8.304147914;8.503312489;8.316115616;8.495427495;8.316966831;8.415079459;8.288877122;8.828446832;8.432509198;8.389942359
"C16orf54";3.160980579;3.070566913;11.08851943;10.9121967;11.49191509;11.42444816;10.99764568;11.23743459;11.45745034;11.61038858;11.13455737;10.96852412
"C16orf58";8.623634584;8.405689269;8.195200313;8.498666605;8.05207455;8.532100883;8.303051463;8.315376437;8.368442991;8.046366836;8.315884525;8.046419482
"C16orf59";7.961020235;7.99755716;7.193321791;7.442381961;7.069181744;7.27184075;7.248345591;7.324904328;7.498151517;7.437020992;7.034625585;7.282371209
"C16orf62";8.154338594;8.213286762;8.463822035;8.376014806;7.744569644;7.986513913;8.486721321;8.292110926;8.19690833;8.015232614;8.27122691;8.368585325
"C16orf70";7.649526004;7.98215354;7.664902124;7.679263643;7.729592497;7.413988481;7.806533036;7.731745436;7.553387289;7.833648324;7.287109599;8.135825837
"C16orf71";4.98783541;5.325902898;4.74105082;5.247330671;4.919064588;5.077258506;5.142777732;5.118580866;5.093464575;5.038920815;5.1903317;5.177899061
"C16orf72";9.728661632;9.864146905;10.38345525;10.05118622;10.98075104;10.55619416;10.22135235;10.44650442;10.51319737;10.90637523;9.984777088;10.17590851
"C16orf74";7.905612943;7.761194064;7.109404217;7.538156978;7.338404944;7.006120814;7.097801393;7.230318536;7.550663383;7.197814452;7.062422297;7.188795454
"C16orf78";4.331913976;4.678888064;4.458061417;4.625326904;4.37014263;4.291505976;4.480115662;4.640420737;4.551985342;4.470442692;4.539555033;4.649596906
"C16orf80";11.08724915;10.95952471;10.25006794;10.20216031;10.19686403;10.26945207;10.07112048;10.2725437;10.17293869;10.25240807;10.0497946;10.09366648
"C16orf82";6.319757874;6.339032666;6.230680634;6.249574601;6.095841823;6.149361604;6.167648507;6.183951998;6.286983976;6.236441628;6.097419939;6.16110701
"C16orf86";6.124932996;6.414312149;6.353900717;6.182409132;6.359758853;6.3447513;6.485202924;6.289963292;6.414022073;6.51277863;6.407392679;6.506865261
"C16orf87";8.032876646;7.860706642;7.413505936;7.521923613;7.478062149;7.213528289;7.550742797;7.450146283;7.315230882;7.258319946;7.458336832;7.645848716
"C16orf89";5.955971391;6.367081048;5.901599509;5.784680298;5.738664189;5.645607933;5.740847373;5.971617374;5.680251639;5.456631982;5.779134558;5.772886988
"C16orf91";9.552582165;9.340442922;8.614848031;8.623379593;8.884286608;8.531683654;8.60005369;8.698604294;8.721539327;8.664290062;8.452652428;8.633418289
"C16orf92";4.82597721;4.837177399;4.886258803;4.752778105;4.682636878;4.663756667;4.886297613;4.992260697;4.89688023;4.843666093;4.98972699;4.925646587
"C16orf93";7.653660838;7.263611086;6.60701432;6.538301818;7.086919276;6.949898264;6.616330614;6.692265469;7.225776637;6.83189447;6.48927877;7.165646685
"C16orf95";8.876085806;9.129654264;7.643093477;7.310633199;7.807763508;7.683021374;7.543114491;7.620716852;7.467318629;8.021120025;7.235166196;7.692133375
"C17orf100";6.479937516;6.260892244;6.602658229;7.299206044;6.974845328;6.890658862;6.987217202;6.803552736;7.336629789;6.011167228;7.288646946;6.517564792
"C17orf104";6.813337247;6.772962411;6.913585527;7.051678713;7.240293328;7.602016019;7.258915946;7.024010445;7.301839563;7.259185186;7.443444126;6.925773696
"C17orf105";4.323200317;4.462593349;4.167067005;4.111493331;4.160313326;4.291505976;4.210471572;4.041159972;3.964749367;4.337797541;4.222253742;4.337762477
"C17orf47";4.222398172;4.115175504;4.060333993;4.087587776;3.881103409;4.138566298;4.487592334;3.999398387;4.037113096;4.226950907;4.062496186;4.088838226
"C17orf49 /// RNASEK /// RNASEK-C17orf49";11.92094968;11.9897626;12.37134492;12.30371298;11.83605702;11.97038715;12.45820089;12.28950325;12.20591931;11.8124711;12.21870986;12.55944279
"C17orf49 /// RNASEK-C17orf49";8.937080465;8.84665455;9.183814246;9.012521196;8.566573454;8.439985121;8.862041469;9.347193599;8.650641427;8.174925144;8.848509952;9.318202613
"C17orf50";6.202905844;6.176117947;5.89268758;5.98069012;5.829637358;5.827748241;5.971108048;6.067856335;5.9249045;5.797754846;5.80087862;5.738482635
"C17orf51";7.212930273;7.42044196;7.093638205;7.032638634;6.914144503;7.069297661;7.003306076;7.146460315;7.276029697;7.147484149;7.146542072;7.125557842
"C17orf53";6.330208463;6.337566644;5.925191251;5.661891298;6.077239772;5.77700572;6.141827892;5.874807581;5.95243738;6.190542789;5.919963237;5.862062733
"C17orf58";10.03628264;9.855935691;8.650363426;8.694846649;8.971151723;8.360785696;8.516553744;8.558842151;8.437248054;8.889977258;8.454205648;8.464776641
"C17orf59";6.82963302;7.134737321;7.410388299;7.248364045;6.902204374;7.257138883;6.971975152;7.50293746;7.108575972;7.132967222;6.876247592;7.292613784
"C17orf62";8.993221269;8.865199298;9.358769704;9.630788732;9.92956998;9.662677746;9.589209447;9.418283184;9.720475209;10.27896542;9.157464029;9.459348552
"C17orf64";7.223559789;7.239824915;7.006045955;7.318698763;6.837297183;7.260684125;7.253254481;7.334285143;7.249345963;6.766666689;7.169020936;7.199364452
"C17orf67";5.753721922;5.382661045;5.796938915;5.905161258;5.983623746;6.677111059;6.006051347;6.300385729;5.947144656;5.94819731;6.357756144;5.781250711
"C17orf70";7.931859525;8.138046083;7.676038186;8.0370515;7.280412594;7.791891262;7.986385204;7.873511363;7.8269753;7.477995712;7.782643132;7.88202001
"C17orf74";3.570516224;3.999299345;3.291246446;3.578783083;3.32076897;3.364847351;3.49493435;3.493566327;3.361214216;3.418446319;3.337335853;3.333903003
"C17orf75";9.363369166;9.403321346;8.451578626;8.422785403;8.455160482;8.101247511;7.913313941;8.410384508;8.230635813;8.378331403;8.074119424;8.01475483
"C17orf77";3.666754653;3.526682274;3.700674565;3.675234631;3.934608796;3.647286629;3.791570199;3.658663505;3.673225352;3.788949113;3.801991899;3.664294753
"C17orf78";3.401550165;3.535995257;3.388337146;3.533028623;3.612400795;3.51695793;3.470152421;3.502293525;3.498145491;3.459768345;3.434681748;3.522822425
"C17orf80";9.070162987;8.85888459;8.111114741;8.030874283;7.946384291;7.933753525;7.853210629;7.973682341;7.97856615;8.02446043;7.789049019;8.031511273
"C17orf82";5.314472042;5.264982532;5.003777134;5.168710788;4.813255914;5.000749635;5.000431203;5.115886193;5.084187137;4.910877019;5.09845675;5.038392224
"C17orf85";8.922958286;9.036077763;8.708312066;8.67372156;8.504332509;8.522346736;8.585428047;8.451366854;8.514627757;8.425287944;8.262645716;8.636704381
"C17orf89";11.47655428;11.49812978;10.6127355;10.6638686;10.46812082;10.36615199;10.49708794;10.57115618;10.53267807;10.18739787;10.45379359;10.57651982
"C17orf96";10.44115141;10.3379056;9.267680692;9.324874419;9.703575305;9.367541952;8.911926991;9.153990493;9.332015001;9.490591957;8.740688661;8.944724103
"C17orf97";7.416048899;7.430417082;7.151675617;6.876528001;7.298507053;7.238891615;7.002005615;7.35243736;7.450685901;7.100962484;6.718462867;6.663379211
"C17orf98";4.143788975;4.202394502;4.00545806;3.909824506;3.788568823;3.672987807;3.840163341;3.803499578;3.83626312;3.800074764;3.87504626;3.766167538
"C17orf99";6.288530347;6.650244135;6.248310358;6.41679113;7.518612784;6.86465113;6.088973528;6.407474748;6.3152059;7.372716235;6.235112956;6.480808062
"C18orf12";3.81373681;3.840254221;3.853036193;3.892698488;3.805877274;3.85431961;3.977489374;3.999601132;3.878046999;3.903793543;3.690242807;3.989711819
"C18orf15";4.36988396;4.408856456;4.202362368;4.231811547;3.769816288;4.228125862;4.113593215;4.194048325;4.109857757;3.932743671;4.248322298;3.986728183
"C18orf21";10.55861607;10.41938934;10.30439317;10.37905297;10.0177068;10.07982044;10.21891516;10.48601411;10.26041547;10.17703652;10.26422184;10.34070789
"C18orf25";8.520111372;8.452007152;8.09426084;8.022035609;8.329143274;8.250871038;7.760114464;8.091939767;8.149627398;8.530246657;8.27435897;7.803756589
"C18orf32 /// RPL17 /// RPL17-C18orf32";8.247447125;8.374478249;8.361472105;8.155072371;8.939187069;8.374350117;8.298550078;8.46478881;8.703039522;8.99014214;8.204307615;8.444635178
"C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C";13.29103881;13.34165299;13.19272698;13.25341722;12.94606054;13.19304282;13.19576343;13.18946738;13.1875041;12.92590068;13.24614881;13.16266738
"C18orf42";3.859252275;3.828270786;3.427162233;3.48044549;3.717182902;3.485108423;3.511141343;3.678635601;3.474660007;3.656161583;3.439259613;3.652277059
"C18orf49 /// ZCCHC2";5.111031177;4.810820306;5.527375745;5.357299503;5.691909867;5.57901997;5.483438166;5.277337323;5.219827826;5.853125589;5.100350908;5.232874407
"C18orf54";8.480433315;8.542131345;7.001339598;6.829183515;6.951480108;6.899307196;6.606197807;6.7323712;6.398417608;6.29393324;6.9294858;7.020648525
"C18orf61";5.078235085;5.132944233;4.872671859;5.10007881;4.951362618;4.915108137;4.801102083;4.893210987;4.871601459;4.943615744;4.971005511;4.961054006
"C18orf8";9.056249444;9.186814448;9.251306923;9.472798208;9.498893204;9.132929319;9.222611947;9.327599162;9.241075236;9.425497791;8.939199783;9.105491369
"C19orf10";9.370193158;9.37823454;8.569616798;8.665330607;8.320729951;8.18464345;8.471489141;8.648918142;8.388416294;8.11622733;8.284664106;8.637021115
"C19orf12";8.237060829;7.842326999;8.492138946;7.974849901;8.211059299;8.145940492;7.697579074;8.268159011;7.507782981;8.188774516;7.960333141;7.785425547
"C19orf18";5.311833829;5.338581475;5.284981328;5.869481177;5.255062446;5.478648673;5.651871596;5.365027741;5.713726081;5.593680655;5.57200902;5.643318797
"C19orf24";10.11586618;10.02979917;9.4374972;9.618873967;8.876965891;9.126452417;9.305946233;9.692876712;9.300057088;8.70900819;9.347589694;9.529991807
"C19orf25";7.321515662;7.113464445;7.205649564;7.506154139;7.00963439;7.140432028;7.326282788;7.146640995;7.233180728;7.133203381;7.03929027;7.156367753
"C19orf26";7.91859027;7.81629707;7.564300524;7.492611758;7.605397934;7.617993597;7.413505193;7.479455449;7.56568228;7.695942505;7.590692474;7.57106294
"C19orf33";10.90344583;10.90882179;9.173770939;9.725027643;8.649959157;8.445271203;9.04114348;9.503264493;9.394391726;8.548581809;8.98156816;9.348499962
